历史性能_NB覆盖等级-sjl_20190222094808,,,,,,,,,,,,,,,
测量类型:,[NB-IoT]覆盖等级 ,,,,,,,,,,,,,,
查询时间:,2019-02-21 00:00:00 - 2019-02-22 00:00:00,,,,,,,,,,,,,,
制表人:,xironghai,,,,,,,,,,,,,,
制表时间:,2019/2/22 9:48,,,,,,,,,,,,,,
序号,开始时间,结束时间,查询粒度,子网,子网名称,网元,网元名称,eNodeB,eNodeB名称,小区,小区名称,覆盖等级,请求,成功,用户数
1,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219361,本溪桓仁县东关219361FDD-ZLH(219361),219361,本溪桓仁县东关219361FDD-ZLH(219361),72,本溪桓仁县东关219361FDDN-ZLH-2(72),2,0,0,0
2,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219361,本溪桓仁县东关219361FDD-ZLH(219361),219361,本溪桓仁县东关219361FDD-ZLH(219361),72,本溪桓仁县东关219361FDDN-ZLH-2(72),1,0,0,0
3,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219361,本溪桓仁县东关219361FDD-ZLH(219361),219361,本溪桓仁县东关219361FDD-ZLH(219361),72,本溪桓仁县东关219361FDDN-ZLH-2(72),0,0,0,0
4,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219361,本溪桓仁县东关219361FDD-ZLH(219361),219361,本溪桓仁县东关219361FDD-ZLH(219361),71,本溪桓仁县东关219361FDDN-ZLH-1(71),2,0,0,0
5,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219361,本溪桓仁县东关219361FDD-ZLH(219361),219361,本溪桓仁县东关219361FDD-ZLH(219361),71,本溪桓仁县东关219361FDDN-ZLH-1(71),1,0,0,0
6,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219361,本溪桓仁县东关219361FDD-ZLH(219361),219361,本溪桓仁县东关219361FDD-ZLH(219361),71,本溪桓仁县东关219361FDDN-ZLH-1(71),0,0,0,0
7,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219361,本溪桓仁县东关219361FDD-ZLH(219361),219361,本溪桓仁县东关219361FDD-ZLH(219361),73,本溪桓仁县东关219361FDDN-ZLH-3(73),2,0,0,0
8,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219361,本溪桓仁县东关219361FDD-ZLH(219361),219361,本溪桓仁县东关219361FDD-ZLH(219361),73,本溪桓仁县东关219361FDDN-ZLH-3(73),1,0,0,0
9,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219361,本溪桓仁县东关219361FDD-ZLH(219361),219361,本溪桓仁县东关219361FDD-ZLH(219361),73,本溪桓仁县东关219361FDDN-ZLH-3(73),0,0,0,0
10,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625484,本溪溪湖区重型招待所625484FDD-ZLH(625484),625522,本溪溪湖区重型招待所625522FDD-ZLH(625522),78,本溪溪湖区重型招待所625522FDDN-ZLH-2(78),0,0,0,0
11,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625484,本溪溪湖区重型招待所625484FDD-ZLH(625484),625522,本溪溪湖区重型招待所625522FDD-ZLH(625522),79,本溪溪湖区重型招待所625522FDDN-ZLH-3(79),0,0,0,0
12,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625484,本溪溪湖区重型招待所625484FDD-ZLH(625484),625522,本溪溪湖区重型招待所625522FDD-ZLH(625522),77,本溪溪湖区重型招待所625522FDDN-ZLH-1(77),0,0,0,0
13,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219337,本溪桓仁县北关219337FDD-ZLH(219337),219337,本溪桓仁县北关219337FDD-ZLH(219337),72,本溪桓仁县北关219337FDDN-ZLH-2(72),2,0,0,0
14,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219337,本溪桓仁县北关219337FDD-ZLH(219337),219337,本溪桓仁县北关219337FDD-ZLH(219337),72,本溪桓仁县北关219337FDDN-ZLH-2(72),1,0,0,0
15,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219337,本溪桓仁县北关219337FDD-ZLH(219337),219337,本溪桓仁县北关219337FDD-ZLH(219337),72,本溪桓仁县北关219337FDDN-ZLH-2(72),0,0,0,0
16,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219337,本溪桓仁县北关219337FDD-ZLH(219337),219337,本溪桓仁县北关219337FDD-ZLH(219337),71,本溪桓仁县北关219337FDDN-ZLH-1(71),2,0,0,0
17,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219337,本溪桓仁县北关219337FDD-ZLH(219337),219337,本溪桓仁县北关219337FDD-ZLH(219337),71,本溪桓仁县北关219337FDDN-ZLH-1(71),1,0,0,0
18,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219337,本溪桓仁县北关219337FDD-ZLH(219337),219337,本溪桓仁县北关219337FDD-ZLH(219337),71,本溪桓仁县北关219337FDDN-ZLH-1(71),0,0,0,0
19,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219337,本溪桓仁县北关219337FDD-ZLH(219337),219337,本溪桓仁县北关219337FDD-ZLH(219337),73,本溪桓仁县北关219337FDDN-ZLH-3(73),2,0,0,0
20,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219337,本溪桓仁县北关219337FDD-ZLH(219337),219337,本溪桓仁县北关219337FDD-ZLH(219337),73,本溪桓仁县北关219337FDDN-ZLH-3(73),1,0,0,0
21,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219337,本溪桓仁县北关219337FDD-ZLH(219337),219337,本溪桓仁县北关219337FDD-ZLH(219337),73,本溪桓仁县北关219337FDDN-ZLH-3(73),0,0,0,0
22,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219359,本溪本溪县上堡219359FDD-ZLH(219359),219359,本溪本溪县上堡219359FDD-ZLH(219359),72,本溪本溪县上堡219359FDDN-ZLH-2(72),2,0,0,0
23,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219359,本溪本溪县上堡219359FDD-ZLH(219359),219359,本溪本溪县上堡219359FDD-ZLH(219359),72,本溪本溪县上堡219359FDDN-ZLH-2(72),1,0,0,0
24,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219359,本溪本溪县上堡219359FDD-ZLH(219359),219359,本溪本溪县上堡219359FDD-ZLH(219359),72,本溪本溪县上堡219359FDDN-ZLH-2(72),0,0,0,0
25,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219359,本溪本溪县上堡219359FDD-ZLH(219359),219359,本溪本溪县上堡219359FDD-ZLH(219359),71,本溪本溪县上堡219359FDDN-ZLH-1(71),2,0,0,0
26,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219359,本溪本溪县上堡219359FDD-ZLH(219359),219359,本溪本溪县上堡219359FDD-ZLH(219359),71,本溪本溪县上堡219359FDDN-ZLH-1(71),1,0,0,0
27,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219359,本溪本溪县上堡219359FDD-ZLH(219359),219359,本溪本溪县上堡219359FDD-ZLH(219359),71,本溪本溪县上堡219359FDDN-ZLH-1(71),0,0,0,0
28,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219359,本溪本溪县上堡219359FDD-ZLH(219359),219359,本溪本溪县上堡219359FDD-ZLH(219359),73,本溪本溪县上堡219359FDDN-ZLH-3(73),2,0,0,0
29,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219359,本溪本溪县上堡219359FDD-ZLH(219359),219359,本溪本溪县上堡219359FDD-ZLH(219359),73,本溪本溪县上堡219359FDDN-ZLH-3(73),1,0,0,0
30,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219359,本溪本溪县上堡219359FDD-ZLH(219359),219359,本溪本溪县上堡219359FDD-ZLH(219359),73,本溪本溪县上堡219359FDDN-ZLH-3(73),0,0,0,0
31,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625475,本溪明山区程家625475FDD-ZLH(625475),625548,本溪明山区程家625548FDD-ZLH(625548),78,本溪明山区程家625548FDDN-ZLH-2(78),0,0,0,0
32,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625475,本溪明山区程家625475FDD-ZLH(625475),625548,本溪明山区程家625548FDD-ZLH(625548),79,本溪明山区程家625548FDDN-ZLH-3(79),0,0,0,0
33,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625475,本溪明山区程家625475FDD-ZLH(625475),625548,本溪明山区程家625548FDD-ZLH(625548),77,本溪明山区程家625548FDDN-ZLH-1(77),0,0,0,0
34,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625449,本溪溪湖区鲍家625449FDD-ZLH(625449),625544,本溪溪湖区鲍家625544FDD-ZLH(625544),78,本溪溪湖区鲍家625544FDDN-ZLH-2(78),0,0,0,0
35,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625449,本溪溪湖区鲍家625449FDD-ZLH(625449),625544,本溪溪湖区鲍家625544FDD-ZLH(625544),77,本溪溪湖区鲍家625544FDDN-ZLH-1(77),0,0,0,0
